"State_UT","Type","Population_Lakhs","IPC_2019","IPC_2020","IPC_2021","IPC_CrimeRate_2021","IPC_CSRate_2021","SLL_2021","SLL_CrimeRate_2021","SLL_CSRate_2021","Total_2021","Total_CrimeRate_2021"
"Andhra Pradesh","State",528.5,119229,188997,179611,339.9,92.9,42588,80.6,97.7,222199,420.4
"Arunachal Pradesh","State",15.4,2590,2244,2626,170.9,51.7,413,26.9,76.3,3039,197.7
"Assam","State",351.6,123512,111558,119883,341,38.2,13356,38,51.3,133239,379
"Bihar","State",1237,197935,194698,186006,150.4,70.5,96077,77.7,94.9,282083,228
"Chhattisgarh","State",296.1,61256,65216,70519,238.2,80.2,40114,135.5,99.5,110633,373.7
"Goa","State",15.6,2465,3393,2099,134.5,73.5,892,57.1,96.3,2991,191.6
"Gujarat","State",700.8,139503,381849,273056,389.7,95.9,458682,654.6,99.8,731738,1044.2
"Haryana","State",296,111323,103276,112720,380.8,49.1,93711,316.5,95.7,206431,697.3
"Himachal Pradesh","State",74.1,14480,14803,13041,176.1,83.9,5792,78.2,95.2,18833,254.3
"Jharkhand","State",386.4,50048,51033,47684,123.4,67.5,13081,33.9,83.1,60765,157.3
"Karnataka","State",669.9,120165,106350,115728,172.8,78.9,47969,71.6,77.7,163697,244.4
"Kerala","State",355.4,175810,149099,142643,401.4,91.8,382317,1075.8,99.6,524960,1477.2
"Madhya Pradesh","State",848.6,246470,283881,304066,358.3,87.3,171852,202.5,99.8,475918,560.8
"Maharashtra","State",1247.6,341084,394017,367218,294.3,76.4,173582,139.1,97.7,540800,433.5
"Manipur","State",31.7,2830,2349,2484,78.3,14.8,720,22.7,40.5,3204,101
"Meghalaya","State",33,3125,2871,2672,81.1,32.2,756,22.9,58.1,3428,104
"Mizoram","State",12.2,2379,1787,2467,202.4,69,729,59.8,97.7,3196,262.2
"Nagaland","State",22,1117,1022,1033,47,62.7,445,20.2,95.9,1478,67.2
"Odisha","State",457.9,96033,108533,124956,272.9,75.5,30464,66.5,96.9,155420,339.4
"Punjab","State",304,44697,49870,46454,152.8,68.2,27127,89.2,95.9,73581,242
"Rajasthan","State",795.7,225306,193279,214552,269.6,51.5,70017,88,94.6,284569,357.6
"Sikkim","State",6.8,632,504,532,78.5,57,196,28.9,98,728,107.4
"Tamil Nadu","State",764.8,168116,891700,322852,422.1,63,433901,567.3,93.5,756753,989.5
"Telangana","State",377.7,118338,135885,146131,386.9,80.8,12678,33.6,79.6,158809,420.5
"Tripura","State",40.8,5336,4010,4133,101.3,69.6,655,16,88.5,4788,117.3
"Uttar Pradesh","State",2317,353131,355110,357905,154.5,75.5,250177,108,92,608082,262.4
"Uttarakhand","State",114.4,12081,13812,15704,137.3,74.6,19171,167.6,96.1,34875,304.9
"West Bengal","State",982.9,157506,158060,157498,160.2,91.9,24323,24.7,87.9,181821,185
"A&N Islands","UT",4,564,482,386,96.3,88.2,946,235.9,99.3,1332,332.2
"Chandigarh","UT",12.1,2819,2583,2401,198.1,67.7,594,49,94.1,2995,247.1
"D&NH and D&D","UT",11.1,548,441,490,44.2,76.2,89,8,90.2,579,52.3
"Delhi","UT",207,299475,249192,291904,1410,31,14485,70,98.8,306389,1479.9
"Jammu & Kashmir","UT",134.4,22404,25233,27447,204.2,79.9,4228,31.5,91.4,31675,235.7
"Ladakh","UT",3,NA,387,519,174.2,89.5,40,13.4,97.4,559,187.6
"Lakshadweep","UT",0.7,123,107,89,130.9,48.1,39,57.4,86.5,128,188.2
"Puducherry","UT",15.8,3167,6725,3851,243.1,93,744,47,97.3,4595,290.1
